character,count
FakeStanley,1
Warehouseguy2,1
Nightcleaningcrew,1
Bouncer,1
MichaelandDonna,1
Oldlady,1
Glen,1
GymInstructor,1
DwightandAngela,1
DarrylandAndy,1
Churchcongregation,1
Femalechurchmember,1
TV,1
RyanandMichael,1
try,1
anyone,1
Olderguy,1
RyanandKelly,1
BoomBox,1
AndyandErin,1
AllbutOscar,1
DarrylandAngela,1
FredHenry,1
WarrenBuffett,1
MervBronte,1
FingerLakesGuy,1
FemaleApplicant,1
Offscreen,1
Drummer,1
PamandKelly,1
DarrylandKevin,1
Chelsea,1
Audience,1
Soldier,1
Amanda,1
QueerensteinBears,1
Stu,1
Saleswoman,1
EmergencyOperator,1
Blogger2,1
LadyBlogger,1
Patty,1
ElderlyWoman,1
Alonzo,1
ErinandIrene,1
Ravi,1
NellieandPam,1
HCTMember1,1
White,1
Guysinbreakroom,1
Wade,1
3rdAthleadEmployee,1
4thAthleadEmployee,1
SenseiIra,1
PartyAnnouncer,1
PartyGuest,1
PartyWaiter,1
Nailstylist1,1
AthleadCoworker,1
Roger,1
OscarsComputer,1
PromoVoice,1
Reporter1,1
Reporter2,1
Phillip,1
Producer,1
Philip,1
