"character","count"
"Saleswoman",1
"Blogger 2",1
"Lady Blogger",1
"Patty",1
"Elderly Woman",1
"Alonzo",1
"Erin and Irene",1
"Ravi",1
"Others",1
"Nellie and Pam",1
"HCT Member 1",1
"Worker",1
"Party Announcer",1
"Party Guest",1
"Party Waiter",1
"Nail stylist 1",1
"Roger",1
"Oscars Computer",1
"Promo Voice",1
"Reporter 1",1
"Reporter 2",1
"Producer",1
