Characters,1,2,3,4,5,6,7,8,9
Michael,0.3256911665542819,0.3119079837618403,0.2681652683235713,0.2854186265286924,0.26629663095391765,0.2607438559600473,0.1916941694169417,0.0,0.00027427317608337906
Dwight,0.1368846931894808,0.13903924221921515,0.1275922114927972,0.1019755409219191,0.13372918549115786,0.10605861479826521,0.09667216721672167,0.134195987205583,0.15496434448710916
Jim,0.153068105192178,0.1266914749661705,0.1074877315181257,0.11514581373471308,0.10868723376791016,0.1219608358522802,0.09433443344334433,0.12009305030532132,0.10970927043335162
Pam,0.11193526635198921,0.10419485791610285,0.09403197720436916,0.09219190968955786,0.08997031108816315,0.09278486003417007,0.0842959295929593,0.06833381797034022,0.10065825562260011
Andy,0.0,0.0,0.04764920056989077,0.03725305738476011,0.062217632631986576,0.07057431988434748,0.07618261826182618,0.1574585635359116,0.08488754799780582
Angela,0.015509103169251517,0.02266576454668471,0.03134399240145639,0.036500470366886174,0.027107267329288757,0.017742147456958863,0.021864686468646866,0.023698749636522246,0.05197476686780033
Kevin,0.016183412002697236,0.02097428958051421,0.025486781700174134,0.02634054562558796,0.020524073835032915,0.029570245761598106,0.033003300330033,0.035184646699621985,0.03634119583104772
Erin,0.0,0.0,0.0,0.0,0.006841357945010972,0.039164147719805496,0.041804180418041806,0.05859261413201512,0.05142622051563357
Oscar,0.028320971004720162,0.015561569688768605,0.009498179515592845,0.015804327375352777,0.025945527300890666,0.022867656722302537,0.02709020902090209,0.03373073567897645,0.04031815688425672
Ryan,0.024949426837491573,0.02774018944519621,0.022479024853569732,0.05211665098777046,0.020265909384277785,0.016033644368510975,0.02378987898789879,0.027188136086071533,0.0021941854086670325
