episodes,Michael,Dwight,Jim,Pam,Andy,Angela,Kevin,Erin,Oscar,Ryan,Darryl,Phyllis,Jan,Toby,Kelly,Stanley,Meredith,Holly,David,Nellie
30,0.3612040134,0.1237458194,0.1070234114,0.1003344482,0,0.03010033445,0.01003344482,0,0,0.01003344482,0,0.006688963211,0.04013377926,0.02006688963,0.02675585284,0.003344481605,0.003344481605,0,0,0
31,0.2786259542,0.2709923664,0.04580152672,0.06488549618,0.03816793893,0.04580152672,0.01526717557,0,0,0,0,0.01908396947,0.09541984733,0,0.03053435115,0.007633587786,0,0,0,0
32,0.3487394958,0.1512605042,0.06302521008,0.1050420168,0.01680672269,0.02521008403,0.008403361345,0,0,0.02521008403,0,0.01260504202,0.05042016807,0.01260504202,0.02100840336,0.02100840336,0.004201680672,0,0,0
33,0.1259541985,0.1717557252,0.1717557252,0.1984732824,0.01908396947,0.01526717557,0.01145038168,0,0,0.1374045802,0,0.007633587786,0.02671755725,0.003816793893,0.02290076336,0.02290076336,0,0,0,0
34,0.2629107981,0.02816901408,0.08920187793,0.1079812207,0.06572769953,0.04694835681,0.02816901408,0,0,0.03286384977,0,0.009389671362,0,0.009389671362,0.07042253521,0.004694835681,0.009389671362,0,0,0
35,0.2653846154,0.1538461538,0.08076923077,0.08461538462,0.01923076923,0.02692307692,0.04615384615,0,0,0.02692307692,0.01538461538,0.03076923077,0.1230769231,0.01153846154,0.007692307692,0.003846153846,0,0,0,0
36,0.2637130802,0.1540084388,0.1392405063,0.07594936709,0.0864978903,0.008438818565,0.01476793249,0,0,0.01898734177,0,0.01687763713,0.01265822785,0.03375527426,0.01265822785,0.008438818565,0.004219409283,0,0,0
37,0.2827225131,0.02094240838,0.1623036649,0.08376963351,0.0890052356,0.05235602094,0.06806282723,0,0,0.01570680628,0,0.005235602094,0.03664921466,0.02094240838,0,0.01047120419,0.005235602094,0,0,0
38,0.22406639,0.1265560166,0.09128630705,0.1182572614,0.05809128631,0.07676348548,0.02904564315,0,0.002074688797,0.01659751037,0.00622406639,0.02489626556,0,0.01659751037,0.01037344398,0.00622406639,0.00622406639,0,0,0
39,0.3211009174,0.1009174312,0.1146788991,0.1513761468,0.01376146789,0.01834862385,0.02293577982,0,0,0,0.02752293578,0.009174311927,0.05504587156,0.03211009174,0,0.01834862385,0,0,0,0
40,0.1784386617,0.1226765799,0.1449814126,0.09665427509,0.1078066914,0.06319702602,0.02602230483,0,0,0.02973977695,0,0.03717472119,0.003717472119,0,0.007434944238,0.02973977695,0,0,0,0
41,0.231884058,0.1207729469,0.1207729469,0.04830917874,0.193236715,0.06763285024,0.01449275362,0,0.05314009662,0.01449275362,0,0.01449275362,0,0,0,0.009661835749,0.009661835749,0,0,0
42,0.2996108949,0.1128404669,0.09727626459,0.1167315175,0,0.01945525292,0.01167315175,0,0,0.0233463035,0,0,0.0233463035,0,0.01167315175,0.003891050584,0.007782101167,0,0,0
