Oh,0,0,1,0,0,0,0,0,0
Jerome Bettis,0,0,4,0,0,0,0,0,0
Ted,0,0,1,0,0,0,0,0,0
Waiter,0,0,1,0,0,0,9,3,2
I,0,0,2,0,0,0,0,0,0
will,0,0,1,0,0,0,0,0,0
Ryan and others,0,0,1,0,0,0,0,0,0
dead,0,0,1,0,0,0,0,0,0
five,0,0,1,0,0,0,0,0,0
Announcer,0,0,1,0,0,0,0,0,0
Pretzel guy,0,0,3,0,0,0,0,0,0
Cousin Mose,0,0,1,0,0,0,0,0,0
Tony,0,0,4,0,0,0,0,0,0
Server,0,0,1,0,0,0,0,0,2
Girls,0,0,1,0,0,0,0,0,0
Kellys Mom,0,0,5,0,0,0,0,0,0
Kellys Father,0,0,3,0,0,0,0,0,0
Young Man,0,0,1,0,0,0,0,0,0
Andy and Jim,0,0,4,0,0,0,0,0,0
Dwight ,0,0,1,0,4,34,1,0,0
M ichael,0,0,1,0,0,0,0,0,0
Michael ,0,0,1,0,2,75,0,0,0
Hannah,0,0,10,0,0,0,0,0,0
Martin,0,0,13,0,0,0,0,0,0
Male voice,0,0,1,0,0,0,0,0,0
in,0,0,1,0,0,0,0,0,0
year,0,0,1,0,0,0,0,0,0
Waitress,0,0,1,2,0,7,0,0,0
Chef,0,0,2,0,0,0,0,0,0
Woman at bar,0,0,1,0,0,0,0,0,0
Cindy,0,0,2,0,0,0,0,0,0
Second Cindy,0,0,12,0,0,0,0,0,0
Other waitress,0,0,2,0,0,0,0,0,0
Both,0,0,2,0,1,4,2,1,1
Packaging,0,0,1,0,0,0,0,0,0
Harvey,0,0,7,0,0,0,0,0,0
Buyer,0,0,2,0,0,0,0,0,0
Staples Guy,0,0,1,0,0,0,0,0,0
MIchael,0,0,1,0,0,0,0,0,0
Lady,0,0,2,0,0,0,2,5,0
Paris,0,0,6,0,0,0,0,0,0
Marcy,0,0,3,0,0,0,0,0,0
Ben Franklin,0,0,24,0,0,0,0,0,0
Elizabeth,0,0,17,3,0,0,0,0,0
Photographer,0,0,1,0,0,0,0,2,0
really,0,0,1,0,0,0,0,0,0
Priest,0,0,4,0,0,0,0,0,0
Uncle Al,0,0,7,0,0,0,0,0,0
Randy,0,0,2,0,0,0,0,0,0
Unknown,0,0,1,0,0,0,0,0,0
College Student,0,0,1,0,0,0,0,0,0
Woman,0,0,4,5,1,4,3,0,3
Kenny,0,0,8,0,0,0,0,0,1
Artist,0,0,1,0,0,0,0,0,0
Rachel,0,0,10,0,0,0,0,0,0
Dan Gore,0,0,1,0,0,0,0,0,0
Bartender,0,0,1,2,0,0,0,0,0
Student 1,0,0,1,0,0,0,0,0,0
Student 2,0,0,1,0,0,0,0,0,0
Child,0,0,2,0,0,0,0,0,0
