"character","s1","s2","s3","s4","s5","s6","s7","s8","s9"
"DwightandAndy",0,0,0,0,1,2,0,0,0
"DwightandAngela",0,0,0,0,0,1,0,0,0
"DwightandErin",0,0,0,0,1,0,1,0,0
"DwightandMichael",0,0,1,1,1,0,0,0,0
"Ed",0,9,0,0,0,0,0,0,0
"ElderlyWoman",0,0,0,0,0,0,0,1,0
"Elizabeth",0,0,17,3,0,0,0,0,0
"Ellen",0,0,0,0,0,0,0,2,0
"EmergencyOperator",0,0,0,0,0,0,0,1,0
"Employee",0,1,0,0,0,0,0,0,0
"Employees",0,0,0,0,1,0,0,0,0
"EntirePrincefamily",0,0,0,0,1,0,0,0,0
"Eric",0,0,0,0,0,26,0,0,0
"Erin",0,0,0,0,53,203,261,284,310
"ErinandIrene",0,0,0,0,0,0,0,1,0
"Ernesto",0,0,0,0,0,0,0,4,0
"Esther",0,0,0,0,0,0,0,0,4
"Everyone",6,4,13,4,9,12,15,21,15
"FakeJim",0,0,0,0,0,0,0,0,6
"FakeStanley",0,0,0,0,0,1,0,0,0
"Fannie",0,0,0,0,0,0,0,0,19
"FemaleApplicant",0,0,0,0,0,0,0,1,0
"Femalechurchmember",0,0,0,0,0,0,1,0,0
"FinancialGuy",0,0,0,0,11,0,0,0,0
"FingerLakesGuy",0,0,0,0,0,0,1,0,0
"Frank",0,0,0,0,0,0,0,0,8
"Fred",0,0,0,0,0,0,9,0,0
"FredHenry",0,0,0,0,0,0,1,0,0
"Friend",0,0,0,0,5,0,0,0,0
"FrontDeskClerk",0,0,0,0,0,10,0,0,0
"Gabe",0,0,0,0,0,49,197,68,20
"Gabor",0,0,0,0,0,0,0,0,3
"GermanMinister",0,0,0,0,0,0,0,0,3
"Gil",0,2,4,0,0,0,0,0,0
"Girl",0,0,0,0,0,0,6,4,0
"Girlattable",0,0,0,0,0,2,0,0,0
"Girlin2ndclub",0,0,0,5,0,0,0,0,0
"GirlinClub",0,0,0,5,0,0,0,0,0
"Girls",0,0,1,0,0,0,0,0,0
"girls",0,0,0,1,0,0,0,0,0
"Glen",0,0,0,0,0,1,0,0,0
"Glenn",0,0,0,0,0,0,0,4,1
"GPS",0,0,0,2,0,0,0,0,0
"Graphicsguy",0,0,0,10,0,0,0,0,0
"Grotti",0,0,0,0,0,30,0,0,0
"Guy",0,4,1,0,4,0,2,0,0
"Guyatbar",0,1,0,0,0,0,0,0,0
"GuyAtBar",0,2,0,0,0,0,0,0,0
"Guyattable",0,0,0,0,3,0,0,0,0
"Guybuyingdoll",0,0,0,0,1,0,0,0,0
"Guyinaudience",0,0,0,0,2,0,0,0,0
"Guysinbreakroom",0,0,0,0,0,0,0,0,1
"Gwenneth",0,0,0,0,0,2,0,0,0
"GymInstructor",0,0,0,0,0,1,0,0,0
"Gyminstructor",0,0,0,0,0,2,0,0,0
"Hank",0,0,0,6,17,1,5,0,3
"Hannah",0,0,10,0,0,0,0,0,0
"Harry",0,0,0,0,0,0,0,13,0
"Harvey",0,0,7,0,0,0,0,0,0
"HCT",0,0,0,0,0,0,0,0,14
"HCTMember1",0,0,0,0,0,0,0,0,1
"HCTMember2",0,0,0,0,0,0,0,0,2
"HCTMember3",0,0,0,0,0,0,0,0,10
"Helen",0,0,0,0,0,0,5,0,0
"Helene",0,0,0,0,0,37,4,0,2
"Henry",0,0,0,0,0,0,0,0,3
"Hide",0,0,0,0,0,4,0,2,8
"Holly",0,0,0,69,129,0,254,0,0
"HollysDad",0,0,0,0,0,0,5,0,0
"HollysMom",0,0,0,0,0,0,4,0,0
"HootersGirls",0,1,0,0,0,0,0,0,0
"Host",0,0,0,0,0,0,0,28,0
"Hostess",0,1,0,0,0,1,0,0,0
"HotDogGuy",0,0,0,0,0,0,5,0,0
"HotelEmployee",0,0,0,0,0,9,0,0,0
"Hunter",0,0,8,0,0,0,0,0,0
"HuntersCD",0,0,0,1,0,0,0,0,0
"Intern",0,0,0,5,0,0,0,0,0
"Ira",0,9,0,0,0,0,0,0,0
"Irene",0,0,0,0,0,0,0,22,0
"Isaac",0,0,0,0,7,0,0,0,3
"Isabel",0,0,0,0,0,18,0,0,0
"ITTechGuy",0,0,0,3,0,0,0,0,0
"Jada",0,0,0,0,0,0,22,0,0
"Jake",0,8,0,0,0,0,0,1,0
"Jan",38,224,238,158,43,0,17,0,32
"Jeb",0,0,0,0,0,0,0,0,12
"JeromeBettis",0,0,4,0,0,0,0,0,0
"Jessica",0,0,0,0,3,0,0,35,0
"JessicaAlba",0,0,0,0,2,0,0,0,0
"Jim",202,621,570,459,736,705,632,607,487
"JIM9334",0,0,0,0,3,0,0,0,0
"JimandDwight",0,1,0,0,0,0,0,0,0
"JimandPam",0,2,0,0,1,0,2,0,0
"Jimsvoicemail",0,1,0,0,0,0,0,0,0
"Jo",0,0,0,0,0,129,53,0,0
"Jordan",0,0,0,0,0,0,13,0,0
"Josh",0,11,42,0,0,0,0,0,0
"Julia",0,0,0,0,13,0,0,0,0
"Julie",0,0,0,0,0,12,0,0,0
"Julius",0,0,0,0,0,0,0,0,9
"Justin",0,0,0,9,0,0,0,0,0
"Justine",0,0,0,0,0,0,2,3,0
"Karen",0,0,242,25,22,0,1,0,0
"Katy",59,20,0,0,0,0,0,0,0
"KeenaGifford",0,0,0,0,0,6,0,0,0
"Kelly",0,79,108,52,126,104,134,84,2
"KellyandErin",0,0,0,0,0,1,0,0,0
"KellysFather",0,0,3,0,0,0,0,0,0
"KellysMom",0,0,5,0,0,0,0,0,0
"Kendall",0,0,0,0,2,0,0,0,0
"Kenny",0,0,8,0,0,0,0,0,1
"Kevin",16,86,149,102,131,145,222,187,169
"Kevinscomputer",0,1,0,0,0,0,0,0,0
"Kid",0,3,0,2,0,1,1,0,0
"Kids",0,2,0,0,0,2,1,0,0
"LabTech",0,3,0,0,0,0,0,0,0
"Lady",0,0,2,0,0,0,2,5,0
"LadyBlogger",0,0,0,0,0,0,0,1,0
"LarryMyers",0,0,0,6,0,0,0,0,0
"Lawyer",0,0,0,0,2,11,0,0,0
"Lefevre",0,0,0,0,0,11,0,0,0
"Leo",0,0,0,0,3,0,0,0,0
"Lester",0,0,0,26,0,0,0,0,0
"Lily",0,0,0,0,6,0,0,0,0
"LimoDriver",0,0,0,0,0,2,0,0,2
"Linda",0,0,0,0,2,0,0,0,0
"LittleGirl",0,0,0,0,0,0,2,0,0
"Lonny",5,3,8,0,0,0,0,0,0
"Luke",0,0,0,0,0,0,18,0,0
"Lynn",0,0,0,0,3,0,0,0,0
"Madge",3,2,0,0,0,0,0,0,0
"Maguire",0,0,0,1,0,0,0,0,0
"Malechurchmember",0,0,0,0,0,0,3,0,0
"Malevoice",0,0,1,0,0,0,0,0,0
"Man",1,0,2,3,2,0,13,2,6
"ManfromBuffalo",0,0,0,0,3,0,0,0,0
"ManinVideo",0,1,0,0,0,0,0,0,0
"ManonPhone",3,0,0,0,0,0,0,0,0
"Manonphone",0,0,0,0,2,0,0,0,0
"Marcy",0,0,3,0,0,0,0,0,0
"Margaret",0,0,0,8,0,0,0,0,0
"Marie",0,0,0,0,5,0,0,0,0
"Mark",0,0,0,0,2,0,0,0,21
"Martin",0,0,13,0,0,0,0,0,0
"Matt",0,0,0,0,0,9,0,0,0
"Melissa",0,10,0,0,0,0,0,0,0
"Melvina",0,0,0,0,0,0,0,0,5
"Member",0,0,0,0,0,0,2,0,0
"Men",0,1,0,0,0,0,0,0,0
"Meredith",13,21,30,39,80,59,66,72,79
"Meridith",0,0,0,0,0,0,2,0,0
"Merv",0,0,0,0,0,0,10,0,0
"MervBronte",0,0,0,0,0,0,1,0,0
"MexicanMan",0,0,0,0,0,0,4,0,0
"Michael",410,1477,1518,1080,1752,1582,1229,0,0
"MichaelandDarryl",0,0,0,1,0,0,0,0,0
"MichaelandDonna",0,0,0,0,0,1,0,0,0
"MichaelandDwight",1,1,2,2,0,1,0,0,0
"MichaelandErin",0,0,0,0,0,1,0,0,0
"MichaelandHolly",0,0,0,0,1,0,0,0,0
"Mikela",0,0,0,0,0,9,0,0,0
"MissTrudy",0,1,0,0,0,0,0,0,0
"Molly",0,0,0,0,0,0,0,0,3
"Mose",0,0,0,1,0,0,3,7,7
"Mother",0,0,0,0,4,0,0,0,0
"Nailmanager",0,0,0,0,0,0,0,0,2
"Nailstylist1",0,0,0,0,0,0,0,0,1
"Nailstylist2",0,0,0,0,0,0,0,0,2
