character,season,episode,percent
Dwight,42,3,0.1128404669
Dwight,43,3,0.138121547
Dwight,44,3,0.1182795699
Dwight,45,3,0.1103448276
Dwight,46,3,0.05027932961
Dwight,47,3,0.2186234818
Dwight,48,3,0.1148148148
Dwight,49,3,0.1438356164
Dwight,50,3,0.134751773
Dwight,51,3,0.1018518519
Dwight,52,4,0.1108829569
Dwight,53,4,0.1224862888
Dwight,54,4,0.152293578
Dwight,55,4,0.08628318584
Dwight,56,4,0.04807692308
Dwight,57,4,0.1352313167
Dwight,58,4,0.1072961373
Dwight,59,4,0.02049180328
Dwight,60,4,0.05673758865
Dwight,61,4,0.07727272727
Dwight,62,4,0.135483871
Dwight,63,4,0.1254901961
Dwight,64,4,0.05319148936
Dwight,65,4,0.07170542636
Dwight,66,5,0.09645669291
Dwight,67,5,0.06306306306
Dwight,68,5,0.1296296296
Dwight,69,5,0.1156716418
Dwight,70,5,0.1220338983
Dwight,71,5,0.2316076294
Dwight,72,5,0.04923076923
Dwight,73,5,0.1275167785
Dwight,74,5,0.08978328173
Dwight,75,5,0.1125
Dwight,76,5,0.2268041237
Dwight,77,5,0.2786259542
Dwight,78,5,0.175059952
Dwight,79,5,0.1054852321
Dwight,80,5,0.1299212598
Dwight,81,5,0.1033333333
Dwight,82,5,0.2282958199
Dwight,83,5,0.07070707071
Dwight,84,5,0.04494382022
Dwight,85,5,0.05501618123
Dwight,86,5,0.109375
Dwight,87,5,0.3007246377
Dwight,88,5,0.08680555556
Dwight,89,5,0.1536050157
Dwight,90,5,0.102189781
Dwight,91,5,0.1501831502
Dwight,92,6,0.06024096386
Dwight,93,6,0.1194029851
Dwight,94,6,0.09570957096
Dwight,95,6,0.152173913
Dwight,96,6,0.1416430595
Dwight,97,6,0.09523809524
Dwight,98,6,0.04388714734
Dwight,99,6,0.136239782
Dwight,100,6,0.1214574899
Dwight,101,6,0.09737827715
Dwight,102,6,0.1358490566
Dwight,103,6,0.1107784431
Dwight,104,6,0.1297709924
Dwight,105,6,0.03409090909
Dwight,106,6,0.1322033898
Dwight,107,6,0.0752
Dwight,108,6,0.1039426523
Dwight,109,6,0.153024911
Dwight,110,6,0.09470752089
Dwight,111,6,0.05284552846
Dwight,112,6,0.137195122
Dwight,113,6,0.1233766234
Dwight,114,6,0.1104294479
Dwight,115,6,0.07755102041
Dwight,116,7,0.09009009009
Dwight,117,7,0.1791044776
Dwight,118,7,0.07423580786
Dwight,119,7,0.1277258567
Dwight,120,7,0.1435897436
Dwight,121,7,0.04929577465
Dwight,122,7,0.05594405594
Dwight,123,7,0.09848484848
Dwight,124,7,0.07792207792
Dwight,125,7,0.1548387097
Dwight,126,7,0.06343906511
Dwight,127,7,0.1065830721
Dwight,128,7,0.06690140845
Dwight,129,7,0.08387096774
Dwight,130,7,0.06818181818
Dwight,131,7,0.04166666667
Dwight,132,7,0.1309904153
Dwight,133,7,0.1068965517
Dwight,134,7,0.04098360656
Dwight,135,7,0.04961832061
Dwight,136,7,0.04863221884
Dwight,137,7,0.07547169811
Dwight,138,7,0.2879377432
Dwight,139,7,0.08906882591
Dwight,140,8,0.1386861314
Dwight,141,8,0.07883817427
Dwight,142,8,0.1167192429
Dwight,143,8,0.1086142322
Dwight,144,8,0.07394366197
Dwight,145,8,0.1574074074
Dwight,146,8,0.1713395639
Dwight,147,8,0.1063829787
Dwight,148,8,0.1739130435
Dwight,149,8,0.08359133127
Dwight,150,8,0.1245136187
Dwight,151,8,0.1487341772
Dwight,152,8,0.1559139785
Dwight,153,8,0.2310344828
Dwight,154,8,0.2571428571
Dwight,155,8,0.1642857143
Dwight,156,8,0.2024291498
Dwight,157,8,0.1704545455
Dwight,158,8,0.08045977011
Dwight,159,8,0.07166123779
Dwight,160,8,0.05479452055
