character,count,appearance
Michael,9048,139
Dwight,5577,188
Jim,5019,188
Pam,4077,188
Andy,2906,152
Angela,1258,188
Kevin,1207,188
Erin,1111,102
Oscar,1036,177
Ryan,1005,168
Darryl,915,120
Phyllis,830,188
Jan,750,42
Toby,714,142
Kelly,689,161
Stanley,544,188
Meredith,459,187
Holly,452,17
David,421,37
Nellie,363,34
