ENumber	Episode_Number	Episode	Rating	Michael	Character
113	6.24	The Cover-Up	0.82	0.2987012987	Pam
114	6.25	The Chump	0.79	0.2515337423	Andy
115	6.26	Whistleblower	0.8	0.2734693878	Jo
116	7.1	Nepotism	0.84	0.2567567568	Pam
117	7.2	Counseling	0.82	0.1156716418	Dwight
118	7.3	Andy's Play	0.82	0.1877729258	Andy
119	7.4	Sex Ed	0.79	0.2741433022	Dwight
120	7.5	The Sting	0.78	0.2179487179	Jim
121	7.6	Costume Contest	0.82	0.2077464789	Danny
122	7.7	Christening	0.74	0.2587412587	Jim
123	7.8	Viewing Party	0.79	0.1856060606	Erin
124	7.9	WUPHF.com	0.78	0.2142857143	Ryan
125	7.1	China	0.82	0.1806451613	Dwight
126	7.11	Classy Christmas	0.89	0.2170283806	Pam
127	7.12	Ultimatum	0.83	0.2351097179	Dwight
128	7.13	The Seminar	0.77	0.1302816901	Andy
129	7.14	The Search	0.84	0.135483871	Pam
130	7.15	PDA	0.84	0.2073863636	Erin
131	7.16	Threat Level Midnight	0.92	0.4583333333	Holly
132	7.17	Todd Packer	0.75	0.1821086262	Dwight
133	7.18	Garage Sale	0.92	0.2482758621	Holly
134	7.19	Training Day	0.79	0.2786885246	Deangelo
135	7.2	Michael's Last Dundies	0.88	0.3167938931	Jim
136	7.21	Goodbye, Michael	0.97	0.3525835866	Andy
137	7.22	The Inner Circle	0.78	0	Deangelo
138	7.23	Dwight K. Schrute, (Acting) Manager	0.87	0	Dwight
139	7.24	Search Committee	0.88	0	Jim
140	8.1	The List	0.82	0	Andy
141	8.2	The Incentive	0.81	0	Andy
142	8.3	Lotto	0.74	0	Andy
143	8.4	Garden Party	0.8	0	Andy
144	8.5	Spooked	0.76	0	Andy
145	8.6	Doomsday	0.78	0	Andy
146	8.7	Pam's Replacement	0.78	0	Pam
147	8.8	Gettysburg	0.7	0	Andy
148	8.9	Mrs. California	0.78	0	Andy
149	8.1	Christmas Wishes	0.8	0	Andy
150	8.11	Trivia	0.78	0	Andy
151	8.12	Pool Party	0.79	0	Erin
152	8.13	Jury Duty	0.75	0	Jim
153	8.14	Special Project	0.78	0	Dwight
154	8.15	Tallahassee	0.79	0	Dwight
155	8.16	After Hours	0.81	0	Dwight
156	8.17	Test the Store	0.79	0	Dwight
