seasons,Michael,Dwight,Jim,Pam,Andy,Angela,Kevin,Erin,Oscar,Ryan
1,0.3256911666,0.1368846932,0.1530681052,0.1119352664,0,0.01550910317,0.016183412,0,0.028320971,0.02494942684
2,0.3119079838,0.1390392422,0.126691475,0.1041948579,0,0.02266576455,0.02097428958,0,0.01556156969,0.02774018945
3,0.2681652683,0.1275922115,0.1074877315,0.0940319772,0.04764920057,0.0313439924,0.0254867817,0,0.009498179516,0.02247902485
4,0.2854186265,0.1019755409,0.1151458137,0.09219190969,0.03725305738,0.03650047037,0.02634054563,0,0.01580432738,0.05211665099
5,0.266296631,0.1337291855,0.1086872338,0.08997031109,0.06221763263,0.02710726733,0.02052407384,0.006841357945,0.0259455273,0.02026590938
6,0.260743856,0.1060586148,0.1219608359,0.09278486003,0.07057431988,0.01774214746,0.02957024576,0.03916414772,0.02286765672,0.01603364437
7,0.1916941694,0.09667216722,0.09433443344,0.08429592959,0.07618261826,0.02186468647,0.03300330033,0.04180418042,0.02709020902,0.02378987899
8,0,0.1341959872,0.1200930503,0.06833381797,0.1574585635,0.02369874964,0.0351846467,0.05859261413,0.03373073568,0.02718813609
9,0.0002742731761,0.1549643445,0.1097092704,0.1006582556,0.084887548,0.05197476687,0.03634119583,0.05142622052,0.04031815688,0.002194185409
